feature,importance
cat__shift_start_09:52,0.0
cat__shift_start_09:42,0.0
cat__shift_start_09:41,0.0
cat__shift_start_09:39,-0.0
cat__shift_start_10:10,0.0
cat__shift_start_11:43,-0.0
cat__shift_start_11:39,-0.0
cat__shift_start_11:33,-0.0
cat__shift_start_11:31,0.0
cat__shift_start_11:25,0.0
cat__shift_start_11:23,-0.0
cat__shift_start_11:08,0.0
cat__shift_start_11:04,0.0
cat__shift_start_10:34,-0.0
cat__shift_start_11:01,-0.0
cat__shift_start_10:52,-0.0
cat__shift_start_10:47,0.0
cat__shift_start_10:46,0.0
cat__shift_start_10:44,-0.0
cat__shift_start_10:41,0.0
cat__shift_start_10:39,-0.0
cat__shift_start_10:35,0.0
cat__shift_start_11:03,0.0
cat__shift_start_18:04,0.0
cat__shift_start_18:03,-0.0
cat__shift_start_17:59,-0.0
cat__shift_start_17:57,-0.0
cat__shift_start_17:49,0.0
cat__shift_start_17:48,-0.0
cat__shift_start_17:47,0.0
cat__shift_start_17:41,0.0
cat__shift_start_14:29,0.0
cat__shift_start_17:33,0.0
cat__shift_start_17:30,0.0
cat__shift_start_17:26,0.0
cat__shift_start_17:22,-0.0
cat__shift_start_17:18,-0.0
cat__shift_start_17:17,-0.0
cat__shift_start_17:13,0.0
cat__shift_start_17:10,-0.0
cat__shift_start_17:40,-0.0
cat__shift_start_19:23,-0.0
cat__shift_start_19:20,-0.0
cat__shift_start_19:18,0.0
cat__shift_start_19:10,-0.0
cat__shift_start_19:08,-0.0
cat__shift_start_19:04,-0.0
cat__shift_start_19:02,-0.0
cat__shift_start_19:00,-0.0
cat__shift_start_18:06,0.0
cat__shift_start_18:48,-0.0
cat__shift_start_18:47,0.0
cat__shift_start_18:44,-0.0
cat__shift_start_18:33,0.0
cat__shift_start_18:22,-0.0
cat__shift_start_18:20,0.0
cat__shift_start_18:14,-0.0
cat__shift_start_18:07,-0.0
cat__shift_start_18:50,0.0
cat__shift_start_15:29,0.0
cat__shift_start_15:26,-0.0
cat__shift_start_15:25,-0.0
cat__shift_start_15:21,-0.0
cat__shift_start_15:20,0.0
cat__shift_start_15:18,-0.0
cat__shift_start_15:15,0.0
cat__shift_start_15:12,0.0
cat__shift_start_17:03,-0.0
cat__shift_start_15:06,-0.0
cat__shift_start_14:57,0.0
cat__shift_start_14:56,-0.0
cat__shift_start_14:49,0.0
cat__shift_start_14:48,0.0
cat__shift_start_14:41,0.0
cat__shift_start_14:38,-0.0
cat__shift_start_14:36,-0.0
cat__shift_start_15:09,0.0
cat__shift_start_17:01,-0.0
cat__shift_start_16:57,0.0
cat__shift_start_16:53,0.0
cat__shift_start_16:51,0.0
cat__shift_start_16:48,-0.0
cat__shift_start_16:43,-0.0
cat__shift_start_16:39,0.0
cat__shift_start_16:14,0.0
cat__shift_start_15:31,-0.0
cat__shift_start_16:08,0.0
cat__shift_start_16:06,-0.0
